loja;caiu;voltou;tempo
"CENTRAL AGUIAR";"02/04/2024 15:22:55";"02/04/2024 15:23:25";1
"CENTRAL AGUIAR";"02/04/2024 15:24:25";"02/04/2024 15:24:55";0
"CENTRAL AGUIAR";"02/04/2024 15:25:55";"02/04/2024 15:26:25";1
"CENTRAL AGUIAR";"02/04/2024 15:26:55";"02/04/2024 15:27:25";1
"CENTRAL AGUIAR";"02/04/2024 15:30:55";"02/04/2024 15:31:25";1
"CENTRAL AGUIAR";"02/04/2024 15:34:55";"02/04/2024 15:35:25";1
"CENTRAL AGUIAR";"02/04/2024 15:38:55";"02/04/2024 15:39:25";1
"CENTRAL AGUIAR";"02/04/2024 15:40:25";"02/04/2024 15:40:55";0
"CENTRAL AGUIAR";"02/04/2024 15:42:55";"02/04/2024 15:43:25";1
"CENTRAL AGUIAR";"02/04/2024 15:43:55";"02/04/2024 15:44:25";1
"CENTRAL AGUIAR";"02/04/2024 15:47:55";"02/04/2024 15:48:25";1
"CENTRAL AGUIAR";"02/04/2024 15:48:55";"02/04/2024 15:49:25";1
"CENTRAL AGUIAR";"02/04/2024 15:52:55";"02/04/2024 15:53:25";1
"CENTRAL AGUIAR";"02/04/2024 15:54:25";"02/04/2024 15:54:55";0
"CENTRAL AGUIAR";"02/04/2024 15:56:55";"02/04/2024 15:57:25";1
"CENTRAL AGUIAR";"02/04/2024 16:00:55";"02/04/2024 16:01:25";1
"CENTRAL AGUIAR";"02/04/2024 16:04:55";"02/04/2024 16:05:25";1
"CENTRAL AGUIAR";"02/04/2024 16:08:55";"02/04/2024 16:09:25";1
"CENTRAL AGUIAR";"02/04/2024 16:10:26";"02/04/2024 16:10:56";0
"CENTRAL AGUIAR";"02/04/2024 16:12:56";"02/04/2024 16:13:26";1
"CENTRAL AGUIAR";"02/04/2024 16:16:56";"02/04/2024 16:17:26";1
"CENTRAL AGUIAR";"02/04/2024 16:20:56";"02/04/2024 16:21:26";1
"CENTRAL AGUIAR";"02/04/2024 16:24:56";"02/04/2024 16:25:26";1
"CENTRAL AGUIAR";"02/04/2024 16:28:56";"02/04/2024 16:29:26";1
"CENTRAL AGUIAR";"02/04/2024 16:32:56";"02/04/2024 16:33:26";1
"CENTRAL AGUIAR";"02/04/2024 16:36:56";"02/04/2024 16:37:26";1
"CENTRAL AGUIAR";"02/04/2024 16:40:57";"02/04/2024 16:41:28";1
"CENTRAL AGUIAR";"02/04/2024 16:42:26";"02/04/2024 16:42:56";0
"CENTRAL AGUIAR";"02/04/2024 16:43:56";"02/04/2024 16:44:26";1
"CENTRAL AGUIAR";"02/04/2024 16:44:57";"02/04/2024 16:45:27";1
"CENTRAL AGUIAR";"02/04/2024 16:46:26";"02/04/2024 16:46:56";0
"CENTRAL AGUIAR";"02/04/2024 16:48:56";"02/04/2024 16:49:26";1
"CENTRAL AGUIAR";"02/04/2024 16:52:56";"02/04/2024 16:53:26";1
"CENTRAL AGUIAR";"02/04/2024 16:55:56";"02/04/2024 16:56:26";1
"CENTRAL AGUIAR";"02/04/2024 16:56:57";"02/04/2024 16:57:27";1
"CENTRAL AGUIAR";"02/04/2024 17:01:56";"02/04/2024 17:02:26";1
"CENTRAL AGUIAR";"02/04/2024 17:05:56";"02/04/2024 17:06:26";1
"CENTRAL AGUIAR";"02/04/2024 17:09:57";"02/04/2024 17:10:27";1
